stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;44358;24;;;;;37.875386;;354 864;0;0;1 569;0;;17 490;35 017;0;;0;1 573;5 513;280 778;0;
1;1;0x0000000I64X;2;P;00:00:00:033;341;22;;;;;43.724318;;2 728;439;0;89;0;;4;4;497;;358;1;285;757;0;
2;4;0x0000000I64X;8;P;00:00:00:133;5744;24;;;;;35.649071;;45 952;780;0;1 885;0;;56;104;10 580;;4 671;7;2 961;23 634;0;
3;2;0x0000000I64X;4;B;00:00:00:066;1134;30;;;;;40.597742;;9 072;480;0;1 607;0;;3;6;5 174;;424;18;66;433;0;
4;3;0x0000000I64X;6;B;00:00:00:100;773;31;;;;;36.076811;;6 184;1 016;0;1 076;0;;0;0;2 768;;195;7;28;171;0;
5;8;0x0000000I64X;16;P;00:00:00:266;9463;25;;;;;34.986810;;75 704;535;0;2 707;0;;151;249;18 289;;6 415;19;3 990;42 188;0;
6;6;0x0000000I64X;12;B;00:00:00:200;2507;29;;;;;36.755630;;20 056;386;0;3 481;0;;16;12;10 434;;1 373;105;532;2 846;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1391;31;;;;;38.210789;;11 128;310;0;2 597;0;;0;0;6 848;;402;7;26;217;0;
8;7;0x0000000I64X;14;B;00:00:00:233;920;31;;;;;35.275746;;7 360;987;0;1 135;0;;0;0;3 393;;260;12;58;536;0;
9;12;0x0000000I64X;24;P;00:00:00:400;9636;25;;;;;34.743369;;77 088;410;0;3 142;0;;604;1 338;19 359;;5 854;57;3 953;41 058;0;
10;10;0x0000000I64X;20;B;00:00:00:333;2916;28;;;;;36.310660;;23 328;139;0;3 981;0;;18;21;12 143;;1 815;154;718;3 952;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1559;32;;;;;37.823299;;12 472;384;0;2 751;0;;0;0;7 140;;482;25;91;762;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1153;31;;;;;34.391681;;9 224;999;0;1 500;0;;4;10;4 039;;357;32;119;1 137;0;
13;14;0x0000000I64X;28;P;00:00:00:466;7508;26;;;;;34.225333;;60 064;504;0;2 809;0;;691;1 289;15 953;;4 947;62;3 175;29 118;0;
14;13;0x0000000I64X;26;B;00:00:00:433;2035;31;;;;;38.030137;;16 280;325;0;3 359;0;;0;0;8 964;;797;59;223;1 808;0;
15;16;0x0000000I64X;32;P;00:00:00:533;9047;25;;;;;35.515017;;72 376;478;0;3 239;0;;825;1 461;16 736;;5 617;84;3 920;38 438;0;
16;15;0x0000000I64X;30;B;00:00:00:500;2257;30;;;;;38.293391;;18 056;360;0;3 186;0;;25;40;9 509;;1 054;87;387;2 622;0;
17;18;0x0000000I64X;36;P;00:00:00:600;8069;26;;;;;34.539048;;64 552;533;0;2 979;0;;826;1 346;16 370;;4 782;89;3 213;32 848;0;
18;17;0x0000000I64X;34;B;00:00:00:566;1907;31;;;;;37.635596;;15 256;562;0;3 171;0;;0;5;7 428;;904;67;300;1 783;0;
19;20;0x0000000I64X;40;P;00:00:00:666;9388;26;;;;;35.091672;;75 104;436;0;3 368;0;;1 195;2 199;16 718;;5 416;123;3 770;40 213;0;
20;19;0x0000000I64X;38;B;00:00:00:633;1817;30;;;;;37.536603;;14 536;744;0;2 840;0;;32;41;6 447;;844;85;303;2 057;0;
21;22;0x0000000I64X;44;P;00:00:00:733;9194;27;;;;;35.193706;;73 552;423;0;3 274;0;;1 300;2 727;16 466;;5 156;145;3 670;38 629;0;
22;21;0x0000000I64X;42;B;00:00:00:700;2143;30;;;;;37.140986;;17 144;373;0;3 203;0;;15;31;9 296;;1 032;85;357;1 996;0;
23;24;0x0000000I64X;48;P;00:00:00:800;11610;26;;;;;34.875139;;92 880;309;0;4 081;0;;1 706;4 219;18 840;;5 561;197;4 307;51 541;0;
24;23;0x0000000I64X;46;B;00:00:00:766;2356;30;;;;;37.216114;;18 848;744;0;3 426;0;;13;22;9 313;;1 233;102;420;2 510;0;
25;26;0x0000000I64X;52;P;00:00:00:866;10159;27;;;;;34.489039;;81 272;538;0;3 047;0;;1 323;2 371;16 476;;4 961;117;3 548;47 213;0;
26;25;0x0000000I64X;50;B;00:00:00:833;1815;31;;;;;37.114792;;14 520;835;0;2 673;0;;0;3;6 430;;906;83;308;2 195;0;
27;28;0x0000000I64X;56;P;00:00:00:933;10037;27;;;;;33.615648;;80 296;522;0;3 123;0;;1 460;2 607;14 930;;4 920;136;3 561;47 280;0;
28;27;0x0000000I64X;54;B;00:00:00:900;1919;32;;;;;37.242250;;15 352;770;0;3 017;0;;13;18;6 853;;942;90;340;2 225;0;
29;30;0x0000000I64X;60;P;00:00:01:000;11398;27;;;;;34.918094;;91 184;270;0;4 121;0;;1 724;3 571;16 136;;5 922;149;4 481;52 904;0;
30;29;0x0000000I64X;58;B;00:00:00:966;2395;30;;;;;37.165410;;19 160;345;0;3 564;0;;44;80;9 392;;1 515;122;558;2 714;0;
31;34;0x0000000I64X;68;P;00:00:01:133;10776;29;;;;;31.949503;;86 208;318;0;4 162;0;;1 194;2 816;18 965;;5 376;136;4 153;47 152;0;
32;32;0x0000000I64X;64;B;00:00:01:066;3294;31;;;;;32.940360;;26 352;487;0;4 237;0;;87;147;11 847;;2 741;182;1 191;4 402;0;
33;31;0x0000000I64X;62;B;00:00:01:033;1376;36;;;;;34.230677;;11 008;1 022;0;1 494;0;;3;6;5 121;;667;58;240;1 402;0;
34;33;0x0000000I64X;66;B;00:00:01:100;1207;34;;;;;30.147680;;9 656;1 014;0;1 439;0;;0;12;4 770;;451;30;201;726;0;
35;36;0x0000000I64X;72;P;00:00:01:200;8423;29;;;;;31.840008;;67 384;491;0;3 489;0;;1 035;2 056;14 863;;5 036;129;3 824;34 622;0;
36;35;0x0000000I64X;70;B;00:00:01:166;1421;33;;;;;35.426276;;11 368;994;0;1 731;0;;73;107;5 339;;452;37;280;1 226;0;
37;38;0x0000000I64X;76;P;00:00:01:266;7566;29;;;;;29.436780;;60 528;533;0;3 199;0;;676;1 442;13 570;;5 342;80;3 720;30 306;0;
38;37;0x0000000I64X;74;B;00:00:01:233;1197;36;;;;;35.496603;;9 576;1 015;0;1 366;0;;35;58;4 554;;470;33;205;740;0;
39;42;0x0000000I64X;84;P;00:00:01:400;13046;28;;;;;30.818930;;104 368;319;0;3 988;0;;1 637;2 824;19 062;;6 112;197;4 595;63 767;0;
40;40;0x0000000I64X;80;B;00:00:01:333;2452;31;;;;;33.631736;;19 616;867;0;2 929;0;;134;174;8 914;;1 317;132;743;3 118;0;
41;39;0x0000000I64X;78;B;00:00:01:300;1210;31;;;;;35.407937;;9 680;1 040;0;1 341;0;;23;25;4 980;;417;32;169;663;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1152;35;;;;;33.250605;;9 216;991;0;1 383;0;;0;17;4 515;;450;29;185;657;0;
43;44;0x0000000I64X;88;P;00:00:01:466;8678;28;;;;;31.514677;;69 424;521;0;2 989;0;;608;1 166;15 507;;5 417;64;3 588;38 076;0;
44;43;0x0000000I64X;86;B;00:00:01:433;1210;34;;;;;36.110929;;9 680;972;0;1 228;0;;17;28;4 905;;428;28;179;902;0;
45;46;0x0000000I64X;92;P;00:00:01:533;12178;26;;;;;32.491548;;97 424;327;0;3 393;0;;702;1 514;18 325;;7 089;86;4 577;60 036;0;
46;45;0x0000000I64X;90;B;00:00:01:500;1182;33;;;;;37.053953;;9 456;986;0;1 276;0;;9;24;4 816;;439;29;224;705;0;
47;48;0x0000000I64X;96;P;00:00:01:600;9493;27;;;;;33.979234;;75 944;470;0;3 067;0;;563;1 103;17 207;;6 085;66;3 859;42 150;0;
48;47;0x0000000I64X;94;B;00:00:01:566;1375;31;;;;;37.044961;;11 000;976;0;1 661;0;;0;4;5 452;;464;35;203;1 172;0;
49;50;0x0000000I64X;100;P;00:00:01:666;9330;27;;;;;33.304671;;74 640;464;0;3 168;0;;468;893;17 803;;5 603;58;3 787;41 043;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1279;32;;;;;36.934813;;10 232;956;0;1 597;0;;6;7;5 002;;520;50;208;923;0;
51;52;0x0000000I64X;104;P;00:00:01:733;9895;26;;;;;33.357787;;79 160;417;0;3 366;0;;620;1 154;17 956;;6 357;90;4 294;43 528;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1169;33;;;;;37.497111;;9 352;982;0;1 465;0;;6;8;4 522;;442;37;175;782;0;
53;56;0x0000000I64X;112;P;00:00:01:866;14665;27;;;;;33.617093;;117 320;299;0;3 563;0;;737;1 599;21 807;;6 398;92;4 606;76 821;0;
54;54;0x0000000I64X;108;B;00:00:01:800;2901;29;;;;;35.502798;;23 208;846;0;3 553;0;;83;131;9 340;;2 082;218;881;4 885;0;
55;53;0x0000000I64X;106;B;00:00:01:766;1330;31;;;;;36.099602;;10 640;967;0;1 657;0;;5;13;5 212;;489;40;219;1 019;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1240;32;;;;;34.513239;;9 920;1 006;0;1 527;0;;0;1;4 792;;491;33;142;881;0;
57;58;0x0000000I64X;116;P;00:00:01:933;12627;26;;;;;34.301451;;101 016;267;0;3 693;0;;633;1 498;18 411;;6 995;86;4 488;63 522;0;
58;57;0x0000000I64X;114;B;00:00:01:900;1141;31;;;;;36.983391;;9 128;957;0;1 614;0;;21;25;4 116;;444;33;208;818;0;
59;62;0x0000000I64X;124;P;00:00:02:066;9900;27;;;;;32.836202;;79 200;515;0;2 626;0;;53;143;15 133;;6 502;9;3 950;49 189;0;
60;60;0x0000000I64X;120;B;00:00:02:000;2291;28;;;;;36.296191;;18 328;859;0;2 574;0;;24;46;6 729;;1 413;166;622;4 790;0;
61;59;0x0000000I64X;118;B;00:00:01:966;567;34;;;;;36.479167;;4 536;875;0;421;0;;0;0;2 193;;177;10;27;159;0;
62;61;0x0000000I64X;122;B;00:00:02:033;827;34;;;;;32.156893;;6 616;1 012;0;1 270;0;;0;1;2 838;;210;8;31;176;0;
63;64;0x0000000I64X;128;P;00:00:02:133;7832;27;;;;;33.503141;;62 656;534;0;2 771;0;;409;714;16 456;;5 396;46;3 274;31 813;0;
64;63;0x0000000I64X;126;B;00:00:02:100;1217;32;;;;;36.600783;;9 736;1 000;0;1 616;0;;8;8;4 491;;391;37;79;1 107;0;
65;66;0x0000000I64X;132;P;00:00:02:200;8683;27;;;;;35.208488;;69 464;439;0;3 261;0;;520;953;17 927;;5 586;71;3 693;35 575;0;
66;65;0x0000000I64X;130;B;00:00:02:166;1519;30;;;;;36.404773;;12 152;947;0;1 952;0;;12;9;5 948;;677;49;259;1 222;0;
67;67;0x0000000I64X;134;P;00:00:02:233;7346;27;;;;;36.873393;;58 768;554;0;2 791;0;;203;380;14 890;;5 531;24;3 615;29 479;0;
68;70;0x0000000I64X;140;P;00:00:02:333;10577;28;;;;;31.388314;;84 616;297;0;3 900;0;;1 316;2 275;20 395;;5 255;175;4 095;45 033;0;
69;68;0x0000000I64X;136;B;00:00:02:266;2320;31;;;;;35.219370;;18 560;885;0;2 642;0;;49;67;9 151;;1 214;116;523;2 829;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1604;35;;;;;33.416120;;12 832;920;0;2 116;0;;4;8;6 781;;527;48;232;1 130;0;
71;71;0x0000000I64X;142;P;00:00:02:366;8589;27;;;;;36.485817;;68 712;521;0;3 090;0;;349;785;16 675;;5 380;59;3 736;36 733;0;
72;72;0x0000000I64X;144;P;00:00:02:400;6685;27;;;;;36.800506;;53 480;634;0;2 974;0;;551;988;14 293;;4 388;78;3 071;24 836;0;
73;73;0x0000000I64X;146;P;00:00:02:433;7265;28;;;;;36.488798;;58 120;633;0;2 560;0;;287;666;14 296;;4 718;39;3 206;30 329;0;
74;74;0x0000000I64X;148;P;00:00:02:466;7934;27;;;;;37.472875;;63 472;549;0;3 130;0;;752;1 169;14 272;;4 824;98;3 652;33 364;0;
75;76;0x0000000I64X;152;P;00:00:02:533;10684;27;;;;;33.993516;;85 472;289;0;3 984;0;;1 426;2 511;17 434;;5 892;177;4 749;47 050;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1839;32;;;;;37.161617;;14 712;966;0;1 944;0;;101;141;6 843;;889;78;438;2 180;0;
77;78;0x0000000I64X;156;P;00:00:02:600;10367;27;;;;;34.850443;;82 936;407;0;3 560;0;;1 600;2 667;16 416;;5 118;186;4 247;46 804;0;
78;77;0x0000000I64X;154;B;00:00:02:566;1714;30;;;;;36.770366;;13 712;934;0;2 075;0;;32;74;6 862;;705;48;334;1 571;0;
79;80;0x0000000I64X;160;P;00:00:02:666;11568;27;;;;;33.867868;;92 544;370;0;3 503;0;;1 150;2 189;18 603;;6 306;133;4 800;53 721;0;
80;79;0x0000000I64X;158;B;00:00:02:633;1668;31;;;;;36.962120;;13 344;930;0;1 832;0;;10;18;6 492;;811;82;274;1 860;0;
81;82;0x0000000I64X;164;P;00:00:02:733;11320;26;;;;;33.537626;;90 560;413;0;3 340;0;;990;1 820;18 240;;6 382;109;4 805;52 784;0;
82;81;0x0000000I64X;162;B;00:00:02:700;1642;32;;;;;37.112737;;13 136;944;0;1 932;0;;13;25;6 398;;673;70;266;1 796;0;
83;84;0x0000000I64X;168;P;00:00:02:800;10441;26;;;;;33.801943;;83 528;448;0;2 881;0;;667;1 017;18 111;;6 064;92;4 454;48 250;0;
84;83;0x0000000I64X;166;B;00:00:02:766;1684;31;;;;;36.794111;;13 472;932;0;1 794;0;;3;5;6 343;;857;84;381;2 045;0;
85;86;0x0000000I64X;172;P;00:00:02:866;10578;26;;;;;33.558754;;84 624;502;0;2 738;0;;570;831;16 900;;5 927;69;4 213;51 491;0;
86;85;0x0000000I64X;170;B;00:00:02:833;1556;32;;;;;36.514788;;12 448;945;0;1 762;0;;7;9;5 534;;768;78;268;2 055;0;
87;88;0x0000000I64X;176;P;00:00:02:933;8404;27;;;;;32.525997;;67 232;596;0;2 686;0;;535;649;14 687;;4 901;70;3 522;38 191;0;
88;87;0x0000000I64X;174;B;00:00:02:900;1531;33;;;;;37.026243;;12 248;952;0;1 722;0;;0;0;5 633;;726;61;214;1 896;0;
89;92;0x0000000I64X;184;P;00:00:03:066;15932;26;;;;;32.196993;;127 456;184;0;3 669;0;;693;1 370;23 255;;7 227;88;5 262;84 424;0;
90;90;0x0000000I64X;180;B;00:00:03:000;2207;29;;;;;35.036381;;17 656;889;0;2 332;0;;13;33;6 910;;1 332;157;559;4 422;0;
91;89;0x0000000I64X;178;B;00:00:02:966;1485;30;;;;;36.373196;;11 880;954;0;1 761;0;;21;42;5 504;;625;69;296;1 608;0;
92;91;0x0000000I64X;182;B;00:00:03:033;854;34;;;;;34.082188;;6 832;947;0;999;0;;0;0;2 764;;316;30;87;802;0;
93;96;0x0000000I64X;192;P;00:00:03:200;8946;27;;;;;32.466585;;71 568;542;0;2 681;0;;452;796;17 968;;5 428;47;3 446;38 927;0;
94;94;0x0000000I64X;188;B;00:00:03:133;2069;29;;;;;35.756817;;16 552;935;0;1 842;0;;0;5;6 503;;1 330;143;569;4 122;0;
95;93;0x0000000I64X;186;B;00:00:03:100;813;34;;;;;35.850876;;6 504;1 023;0;985;0;;0;0;2 557;;261;14;58;550;0;
96;95;0x0000000I64X;190;B;00:00:03:166;1413;33;;;;;31.738265;;11 304;966;0;1 838;0;;0;2;5 751;;509;45;132;1 055;0;
97;98;0x0000000I64X;196;P;00:00:03:266;9087;28;;;;;32.481973;;72 696;536;0;3 031;0;;1 057;2 121;17 893;;4 665;109;3 074;38 521;0;
98;97;0x0000000I64X;194;B;00:00:03:233;2208;32;;;;;34.650774;;17 664;941;0;2 729;0;;14;29;8 407;;1 002;113;344;2 930;0;
99;100;0x0000000I64X;200;P;00:00:03:333;10724;28;;;;;30.767196;;85 792;418;0;3 152;0;;1 387;2 799;18 504;;5 334;147;3 720;48 570;0;
100;99;0x0000000I64X;198;B;00:00:03:300;2200;34;;;;;34.589947;;17 600;915;0;2 619;0;;4;8;8 740;;1 036;98;361;2 730;0;
101;102;0x0000000I64X;204;P;00:00:03:400;11131;28;;;;;31.254285;;89 048;425;0;3 212;0;;1 319;2 347;19 231;;5 440;132;3 706;51 592;0;
102;101;0x0000000I64X;202;B;00:00:03:366;2288;32;;;;;34.236999;;18 304;912;0;2 725;0;;8;19;8 642;;1 116;124;403;3 225;0;
103;104;0x0000000I64X;208;P;00:00:03:466;12502;28;;;;;30.942216;;100 016;379;0;3 338;0;;1 263;2 481;18 832;;6 000;113;4 081;61 900;0;
104;103;0x0000000I64X;206;B;00:00:03:433;2329;33;;;;;34.598714;;18 632;911;0;2 896;0;;27;41;8 324;;1 206;127;500;3 476;0;
105;106;0x0000000I64X;212;P;00:00:03:533;12668;27;;;;;31.590664;;101 344;393;0;3 278;0;;1 261;1 880;18 812;;5 674;119;4 252;64 057;0;
106;105;0x0000000I64X;210;B;00:00:03:500;2356;33;;;;;35.239881;;18 848;895;0;2 836;0;;47;63;8 705;;1 139;139;393;3 498;0;
107;108;0x0000000I64X;216;P;00:00:03:600;13245;27;;;;;31.604127;;105 960;386;0;3 296;0;;1 224;1 818;17 159;;6 391;111;4 536;69 528;0;
108;107;0x0000000I64X;214;B;00:00:03:566;1815;34;;;;;35.061092;;14 520;941;0;2 065;0;;12;16;6 399;;897;106;267;2 782;0;
109;112;0x0000000I64X;224;P;00:00:03:733;11991;28;;;;;31.634711;;95 928;467;0;3 140;0;;505;780;18 578;;6 164;62;4 042;60 994;0;
110;110;0x0000000I64X;220;B;00:00:03:666;2694;32;;;;;32.943120;;21 552;854;0;3 087;0;;27;40;8 243;;1 541;176;610;5 789;0;
111;109;0x0000000I64X;218;B;00:00:03:633;1382;35;;;;;34.421724;;11 056;994;0;1 443;0;;0;0;4 507;;567;47;179;2 241;0;
112;111;0x0000000I64X;222;B;00:00:03:700;1391;34;;;;;31.223570;;11 128;978;0;1 824;0;;0;1;5 120;;561;48;160;1 382;0;
113;114;0x0000000I64X;228;P;00:00:03:800;10143;28;;;;;31.842458;;81 144;453;0;3 265;0;;507;1 173;18 662;;5 842;72;3 541;46 106;0;
114;113;0x0000000I64X;226;B;00:00:03:766;2136;34;;;;;34.856097;;17 088;899;0;2 472;0;;22;30;7 748;;848;95;204;3 718;0;
115;116;0x0000000I64X;232;P;00:00:03:866;9632;28;;;;;30.500865;;77 056;429;0;3 367;0;;1 010;2 131;15 728;;4 804;166;3 382;43 916;0;
